-1.295,-0.71775,-1.2927
-0.5672,-1.2325,1.3158
-1.2218,-0.1684,0.47367
1.2076,0.8325,1.0769
-0.26576,1.4516,1.5664
-0.27427,0.61447,0.78611
-0.52019,-1.4387,-0.19745
0.39181,-1.8508,-0.57135
0.6696,-0.34385,-1.5509
-0.034741,-0.23709,0.51326
0.027726,1.0166,-0.030751
0.66322,-0.66226,-0.31426
-0.4766,1.7218,1.8788
1.1744,1.0859,0.083199
0.36701,-1.645,-0.74049
0.52678,0.017697,1.5643
0.66528,0.35392,0.91451
-0.90891,-0.79188,1.1564
-2.0034,-1.7675,0.52626
-0.39423,-0.85455,-1.1508
-1.8049,0.22628,0.74993
0.5358,-0.014856,-0.73394
-0.56807,-0.026748,-0.45113
-0.52322,0.9045,1.1926
-0.87525,-0.15471,-1.0459
0.64174,0.051841,-1.5979
-0.46174,0.21933,0.90356
0.99589,0.073949,-0.85966
-0.13672,0.29778,0.84336
-0.029565,0.52895,1.5687
0.45818,-0.4504,-0.24011
0.59961,0.11805,-0.24319
0.43029,-0.61852,-0.90936
0.021533,0.91442,-1.3947
-1.5509,1.1217,-0.98142
0.1772,-1.3485,2.1234
0.71825,-0.2386,-0.54689
-0.60497,-0.88705,1.7002
0.18469,0.92757,-0.30087
1.7744,-0.72392,-0.46073
-0.83911,-2.2288,-0.90978
1.2805,1.9375,-1.2136
-0.79186,-0.88711,0.18896
0.12605,-0.053943,-2.4933
-0.46262,0.36265,-0.30074
0.2576,-1.2288,0.059395
0.85094,1.1353,2.0619
1.0968,0.46671,-0.71032
-1.0295,1.5546,0.82282
-0.78711,-1.9946,-0.64113
-0.7219,0.20383,1.0286
-2.174,1.0606,0.31624
-0.6918,0.75884,0.22666
-0.24224,-0.14357,-0.50615
1.0375,-0.8249,0.25324
0.1697,2.8122,0.32721
-0.76626,-0.53572,-0.27059
-2.0696,0.53186,1.2537
-0.39519,-0.91513,0.3561
2.0271,-1.1152,-0.5611
-0.42994,-2.4462,-0.35743
-0.42888,0.84317,2.2523
-0.85664,0.49945,2.2697
-2.0252,1.5253,-0.42131
0.11157,-0.081304,0.52782
-0.13555,0.42637,1.6992
-1.2387,0.73502,1.027
1.0946,-1.1809,-0.52878
0.0037408,-0.43647,1.324
-1.4687,0.71229,0.28842
-0.6147,1.713,-0.37627
-0.40805,0.24297,0.056674
1.6756,0.38939,-0.503
-2.1716,-0.89715,-1.2516
0.70284,-0.14336,0.053371
1.1089,0.78655,0.91077
0.2599,0.8243,-0.44032
-0.63498,0.22221,-0.87026
0.022733,1.1735,0.32209
-0.38018,-1.5386,0.85637
-1.0028,0.48106,-0.26611
1.2413,1.5061,0.13518
0.06113,0.97301,0.57518
-1.0351,1.2702,0.32141
